Flared pants with a matching blazer and pointy-toe flats, Purple Velvet Robe with Fur Trim , Madame, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Straight Hair, full breasts, gloss metallic lipstick, (peek-a-boo):1.7, (bra outline):1.1
Wide-legged dress pants with a colorful blouse, Black Leather Bralette and Panty Set, Dame, Tall, Athletic, Oval Face, Fair Skin, Silver Hair, jade Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Straight Hair, French Braid, augmented breasts, lavender cream lipstick, (peek-a-boo):1.9, (bra outline):0.9
T-shirt dresses, White Lace Bralette and Boyshorts Set, Starlet, Tall, Athletic, Oval Face, Tan Skin, Blonde Hair, pink Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Side-Swept Bangs, perky breasts, Faux gauge earrings, soft pink cream lipstick, (peek-a-boo):1.2, (bra outline):1.0
Sleeveless dresses, Purple Velvet Robe with Fur Trim , Starlet, Short, Skinny, Square Face, Dark Skin, Honey Blonde Hair, brown Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Curly Afro, saggy breasts, Clip-on earrings, mauve metallic lipstick, (peek-a-boo):1.4, (bra outline):1.1
Fit-and-flare dresses, Yellow Lace Halter Bralette and Thong Set, Maven, Tall, Narrow Hips, Heart-Shaped Face, Tan Skin, Silver Hair, amber Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Fancy Updo, saggy breasts, Drop earrings, golden sheer lipstick, (peek-a-boo):1.6, (bra outline):0.8
Shift dress with a blazer, Turquoise Sheer Chemise with Cutouts, Dame, Average Height, Skinny, Square Face, Olive Skin, Dark Brown Hair, amethyst Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Short Afro, asymmetrical breasts, Threader earrings, light pink sheer lipstick, (peek-a-boo):1.5, (bra outline):1.3
Crisp white button-up shirt with black dress pants, Pink Floral Corset, Charmer, Short, Firm, Square Face, Tan Skin, Chestnut Hair, Brown Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Sleek Bun, saggy breasts, Threader earrings, golden metallic lipstick, (peek-a-boo):1.4, (bra outline):1.0
Wrap dresses, Red Satin Kimono with Lace Sleeve Detail, Female Warrior, Average Height, Slim, Oval Face, Dark Skin, Platinum Blonde Hair, pink Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, High Messy Bun, round breasts, rust cream lipstick, (peek-a-boo):1.0, (bra outline):0.8
Sleeveless dresses, Gold Strappy Bodysuit, Gal, Short, Athletic, Round Face, Tan Skin, Red Hair, brown Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Braided Half Up, augmented breasts, green matte lipstick, (peek-a-boo):1.1, (bra outline):0.8
Maxi dresses, Silver Silk Bra and Panty Set with Garter Belt, Queen, Average Height, Fit, Diamond-Shaped Face, Tan Skin, Brunette Hair, gold Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Thick Hair, French Braid, full breasts, Huggie earrings, black matte lipstick, (peek-a-boo):1.4, (bra outline):1.0
Sophisticated jumpsuit with a jacket, Pink Floral Corset, Empress, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Silver Hair, light blue Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Smooth Waves, augmented breasts, brown cream lipstick, (peek-a-boo):1.1, (bra outline):1.1
Linen blazer with ankle-length trousers and block heels, Tan Faux Leather Slip Dress, Vixen, Tall, Athletic, Oval Face, Dark Skin, Chestnut Hair, ruby Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Coarse Hair, Boho Braid, round breasts, Clip-on earrings, lavender cream lipstick, (peek-a-boo):1.4, (bra outline):0.9
Printed pants with a tucked-in blouse and cropped blazer, Red Satin Babydoll, Madame, Average Height, Slim, Oval Face, Tan Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Braided Crown, small breasts, Stud earrings, golden matte lipstick, (peek-a-boo):1.8, (bra outline):1.2
Knee-length skirt suit in a neutral color, Green Satin and Lace Garter Belt with Matching Thong, Female Warrior, Tall, in shape, Round Face, Dark Skin, Light Brown Hair, Blue Eyes with Green Flecks, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Wedding Updo, augmented breasts, rose satin lipstick, (peek-a-boo):1.6, (bra outline):1.1
A-line midi skirt with a silk blouse and pumps, Grey Faux Leather Corset , Countess, Short, Thin, Heart-Shaped Face, Dark Skin, Brunette Hair, dark brown Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Afro, asymmetrical breasts, Cuff earrings, terracotta satin lipstick, (peek-a-boo):1.9, (bra outline):1.2
Short dresses, Yellow Lace Halter Bralette and Thong Set, Lady, Short, in shape, Oval Face, Tan Skin, Golden Blonde Hair, teal Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Fringed Bangs, large breasts, Hoop earrings, rust cream lipstick, (peek-a-boo):1.3, (bra outline):1.0
Linen blazer with ankle-length trousers and block heels, Pink Floral Corset, Escort, Tall, Fit, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, High Bun, full breasts, Cuff earrings, rust cream lipstick, (peek-a-boo):1.7, (bra outline):1.1
Tweed blazer with matching skirt, Gold Mesh Bra and Panty Set with Garter Belt, Escort, Short, in shape, Round Face, Olive Skin, Blonde Hair, blue Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Four-Strand Braid, augmented breasts, Cuff earrings, magenta satin lipstick, (peek-a-boo):1.3, (bra outline):0.9
Midi dresses, Blue Sheer Babydoll with Satin Trim, Mistress, Short, Wide Hips, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, brown Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Side-Swept Bangs, soft breasts, Huggie earrings, brown metallic lipstick, (peek-a-boo):1.5, (bra outline):0.9
Sophisticated jumpsuit with a jacket, Crimson Velvet Cami and Short Set , Siren, Average Height, in shape, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, Brown Eyes, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Curled Bob, natural breasts, Huggie earrings, magenta metallic lipstick, (peek-a-boo):1.8, (bra outline):1.0
Off-the-shoulder dresses, Green Satin and Lace Garter Belt with Matching Thong, Baroness, Short, Wide Hips, Round Face, Olive Skin, Brunette Hair, gold Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, High Ponytail, natural breasts, Threader earrings, cherry matte lipstick, (peek-a-boo):1.7, (bra outline):1.0
Off-the-shoulder dresses, Ivory Lace Teddy, Starlet, Tall, Toned, Heart-Shaped Face, Fair Skin, Gray Hair, Hazel Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, French Twist, augmented breasts, Hoop earrings, pink cream lipstick, (peek-a-boo):1.8, (bra outline):1.0
Linen blazer with ankle-length trousers and block heels, Silver Silk Bra and Panty Set with Garter Belt, Goddess, Average Height, Firm, Triangular Face, Tan Skin, Golden Blonde Hair, pink Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Messy Beach Waves, asymmetrical breasts, Clip-on earrings, teal satin lipstick, (peek-a-boo):1.9, (bra outline):1.1
Short dresses, Mint Green Mesh Teddy , Lady, Tall, Wide Hips, Triangular Face, Dark Skin, Black Hair, ice blue Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Four-Strand Braid, firm breasts, Huggie earrings, beige cream lipstick, (peek-a-boo):1.0, (bra outline):1.2
Spaghetti strap dresses, Purple Velvet Slip with Lace Trim, Visionary, Tall, Fit, Square Face, Olive Skin, Golden Blonde Hair, silver Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, French Twist, firm breasts, Cuff earrings, light pink metallic lipstick, (peek-a-boo):1.9, (bra outline):0.9
Rompers, Yellow Lace Garter Belt , Heiress, Tall, Lean, Square Face, Olive Skin, Platinum Blonde Hair, gold Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Dutch Braid, round breasts, Hoop earrings, hot pink cream lipstick, (peek-a-boo):1.6, (bra outline):0.9
Sundresses, Red Lace Bra and Panty Set with Garter Belt, Woman, Short, Skinny, Round Face, Dark Skin, Light Brown Hair, coral Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Wavy Bob, saggy breasts, Drop earrings, burgundy satin lipstick, (peek-a-boo):1.7, (bra outline):1.0
Crisp white button-up shirt with black dress pants, Olive Green Mesh Garter Belt with Stockings, Female Warrior, Short, Narrow Hips, Square Face, Tan Skin, Gray Hair, Gray Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, French Twist, small breasts, Faux gauge earrings, fuchsia stain lipstick, (peek-a-boo):1.1, (bra outline):1.1
Floral blouse with a fitted pencil skirt and ankle boots, Blue Strappy Bodysuit with Cutouts, Duchess, Tall, Fit, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, peach Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Fine Hair, Triple Braided Crown, large breasts, Drop earrings, rust matte lipstick, (peek-a-boo):1.5, (bra outline):1.2
Classic black blazer with matching pants, White Sheer Teddy with Lace Trim, Female Viking, Tall, Lean, Heart-Shaped Face, Fair Skin, Black Hair, Hazel Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Waterfall Braid, small breasts, Threader earrings, orange metallic lipstick, (peek-a-boo):1.8, (bra outline):0.8
Long-sleeved midi dress with a belt and structured blazer, White Sheer Teddy with Lace Trim, Countess, Short, Slim, Triangular Face, Olive Skin, Blonde Hair, amber Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Chignon, perky breasts, Threader earrings, rose metallic lipstick, (peek-a-boo):1.2, (bra outline):1.1
Sleeveless dresses, Purple Velvet Slip with Lace Trim, Queen, Average Height, Toned, Heart-Shaped Face, Tan Skin, Light Brown Hair, Brown Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Bangs with Highlights, asymmetrical breasts, Dangle earrings, rust cream lipstick, (peek-a-boo):1.1, (bra outline):0.8
Halter dresses, Blue Satin and Lace Cami and Short Set, Superwoman, Short, Toned, Diamond-Shaped Face, Tan Skin, Gray Hair, Amber Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, natural breasts, hot pink gloss lipstick, (peek-a-boo):1.2, (bra outline):0.9
Long-sleeved midi dress with a belt and structured blazer, Blue Sheer Babydoll with Satin Trim, Superwoman, Average Height, Lean, Square Face, Dark Skin, Auburn Hair, Brown Eyes with Green Flecks, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Braided Crown, small breasts, Stud earrings, black stain lipstick, (peek-a-boo):1.7, (bra outline):1.3
Spaghetti strap dresses, Lavender Lace Bra and Panty Set , Goddess, Average Height, Lean, Square Face, Tan Skin, Strawberry Blonde Hair, Brown Eyes with Green Flecks, Wide Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Triple Braided Crown, natural breasts, Threader earrings, grape metallic lipstick, (peek-a-boo):1.9, (bra outline):0.7
Sleeveless dresses, Orange Satin Slip, Enigma, Tall, Firm, Oval Face, Fair Skin, Auburn Hair, amber Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Dutch Braid, large breasts, Dangle earrings, magenta sheer lipstick, (peek-a-boo):1.5, (bra outline):1.1
Classic black blazer with matching pants, Green Sequin Slip Dress with Thigh-High Slits, Queen, Short, Fit, Square Face, Tan Skin, Honey Blonde Hair, jade Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Donut Bun, perky breasts, Hoop earrings, beige metallic lipstick, (peek-a-boo):1.7, (bra outline):1.1
Classic black blazer with matching pants, Green Sequin Slip Dress with Thigh-High Slits, Sensation, Average Height, Firm, Oval Face, Dark Skin, Red Hair, pink Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Loose Curls, full breasts, Clip-on earrings, brown cream lipstick, (peek-a-boo):2.0, (bra outline):1.1
Bodycon dresses, Red Satin Babydoll, Enigma, Average Height, Firm, Square Face, Olive Skin, Light Brown Hair, silver Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Herringbone Braid, round breasts, Huggie earrings, cherry stain lipstick, (peek-a-boo):1.8, (bra outline):1.3
Off-the-shoulder dresses, Purple Velvet Slip with Lace Trim, Visionary, Short, Toned, Heart-Shaped Face, Fair Skin, Brunette Hair, aquamarine Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Double Braided Crown, firm breasts, silver metallic lipstick, (peek-a-boo):1.4, (bra outline):0.7
Midi dresses, Green Sequin Slip Dress with Thigh-High Slits, Starlet, Short, Skinny, Square Face, Tan Skin, Strawberry Blonde Hair, Green Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Half Up Half Down, asymmetrical breasts, Clip-on earrings, lavender cream lipstick, (peek-a-boo):1.1, (bra outline):1.2
Shift dress with a blazer, Red Satin Kimono with Lace Sleeve Detail, Heiress, Tall, in shape, Round Face, Fair Skin, Blonde Hair, hazel Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Stacked Bob, large breasts, Hoop earrings, rose satin lipstick, (peek-a-boo):1.0, (bra outline):0.8
Crisp white button-up shirt with black dress pants, Teal Velvet Chemise with Ruffles , Empress, Tall, Firm, Triangular Face, Olive Skin, Blonde Hair, purple Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Herringbone Braid, large breasts, Hoop earrings, terracotta cream lipstick, (peek-a-boo):1.8, (bra outline):0.7
Short dresses, Pink Lace Chemise with Ruffle Details, Belle, Short, Thin, Heart-Shaped Face, Dark Skin, Auburn Hair, yellow Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Bob with Bangs, full breasts, Stud earrings, rose gloss lipstick, (peek-a-boo):1.4, (bra outline):0.9
Sophisticated jumpsuit with a jacket, Lavender Lace Bra and Panty Set , Duchess, Average Height, Toned, Triangular Face, Olive Skin, Platinum Blonde Hair, ice blue Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Boho Braid, large breasts, Drop earrings, light pink velvet lipstick, (peek-a-boo):1.7, (bra outline):1.3
Tailored dress with cardigan, Yellow Lace Garter Belt , Songstress, Average Height, Athletic, Diamond-Shaped Face, Dark Skin, Light Brown Hair, red Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Boho Braid, soft breasts, Dangle earrings, light pink metallic lipstick, (peek-a-boo):1.6, (bra outline):0.8
Maxi dresses, White Lace Bralette and Boyshorts Set, Baroness, Tall, Narrow Hips, Round Face, Dark Skin, Red Hair, ice blue Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Wedding Updo, round breasts, Drop earrings, burgundy sheer lipstick, (peek-a-boo):1.4, (bra outline):1.3
Fit-and-flare dresses, Maroon Satin and Lace Corset , Seductress, Tall, Lean, Triangular Face, Tan Skin, Chestnut Hair, amber Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, High Messy Bun, soft breasts, Stud earrings, peach stain lipstick, (peek-a-boo):1.3, (bra outline):1.3
A-line midi skirt with a silk blouse and pumps, Yellow Lace Halter Bralette and Thong Set, Woman, Average Height, Firm, Square Face, Tan Skin, Honey Blonde Hair, jade Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Long Curly Hair, asymmetrical breasts, Drop earrings, rose cream lipstick, (peek-a-boo):1.4, (bra outline):0.7
Halter dresses, Olive Green Mesh Garter Belt with Stockings, Chanteuse, Average Height, Thin, Square Face, Fair Skin, Silver Hair, Hazel Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Fringed Bangs, round breasts, Drop earrings, green velvet lipstick, (peek-a-boo):1.6, (bra outline):0.9
Off-the-shoulder dresses, Pink Floral Corset, Chanteuse, Short, Lean, Diamond-Shaped Face, Dark Skin, Platinum Blonde Hair, grey-blue Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Wedding Updo, firm breasts, Huggie earrings, light pink metallic lipstick, (peek-a-boo):1.2, (bra outline):1.2
Shift dress with a blazer, Gold Strappy Bodysuit, Madame, Tall, Skinny, Triangular Face, Fair Skin, Black Hair, black Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Four-Strand Braid, small breasts, cream cream lipstick, (peek-a-boo):1.9, (bra outline):1.3
Shift dress with a blazer, Teal Velvet Chemise with Ruffles , Artist, Short, Firm, Oval Face, Olive Skin, Golden Blonde Hair, yellow Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Wavy Hair, Angled Bob, firm breasts, Drop earrings, terracotta stain lipstick, (peek-a-boo):1.8, (bra outline):0.8
Maxi dresses, Red Lace Bra and Panty Set with Garter Belt, Visionary, Average Height, Fit, Triangular Face, Fair Skin, Silver Hair, amber Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Formal Braided Updo, saggy breasts, Clip-on earrings, terracotta sheer lipstick, (peek-a-boo):1.6, (bra outline):1.0
Classic black blazer with matching pants, Purple Velvet Bra and Panty Set with Lace Trim, Siren, Short, Slim, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, amber Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Fishbone Braid, saggy breasts, Hoop earrings, light pink cream lipstick, (peek-a-boo):1.5, (bra outline):1.2
Strapless dresses, Blue Strappy Bodysuit with Cutouts, Duchess, Short, Slim, Oval Face, Dark Skin, Gray Hair, light blue Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Long Curled Updo, full breasts, Clip-on earrings, mauve satin lipstick, (peek-a-boo):1.4, (bra outline):1.0
Rompers, Orange Satin Slip, Starlet, Average Height, Fit, Square Face, Tan Skin, Dark Brown Hair, silver Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Sock Bun, soft breasts, Huggie earrings, coral cream lipstick, (peek-a-boo):1.4, (bra outline):1.0
High-waisted pants with a tucked-in blouse and statement necklace, Blue Satin and Lace Cami and Short Set, Femme fatale, Short, Athletic, Round Face, Tan Skin, Chestnut Hair, Brown Eyes with Green Flecks, Short Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Fishtail Crown Braid, natural breasts, Stud earrings, golden sheer lipstick, (peek-a-boo):2.0, (bra outline):1.0
Classic black blazer with matching pants, Blue Strappy Bodysuit with Cutouts, Madam, Average Height, Athletic, Round Face, Tan Skin, Light Brown Hair, Sapphire Eyes, Wide Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Long Curled Updo, saggy breasts, Stud earrings, mauve velvet lipstick, (peek-a-boo):1.1, (bra outline):0.8
